Concept;Individual
ORGANIZATION;Ixtenco Mexico Nick Fury
PERSON;Maria Hill
CAUSE_OF_DEATH;storm
PERSON;Quentin Beck
DATE;A week later
CITY;New York City
ORGANIZATION;Midtown School of Science and Technology
DURATION;year
DURATION;the five year
DATE;eight months earlier
NUMBER;1
DATE;two week summer
LOCATION;Europe
PERSON;Peter Parker
PERSON;Tony Stark
PERSON;MJ
PERSON;his
PERSON;his
PERSON;Hogan
PERSON;Parker
PERSON;Parker
PERSON;him
PERSON;Parker
CITY;Venice
COUNTRY;Italy
CAUSE_OF_DEATH;attacks
PERSON;his
PERSON;Parker
PERSON;Beck
PERSON;his
PERSON;Parker
PERSON;him
PERSON;his
ORGANIZATION;Stark Industries
PERSON;Beck
MISC;Elementals
PERSON;his
DATE;now
CAUSE_OF_DEATH;Fire
CITY;Prague
PERSON;He
PERSON;Parker
PERSON;Beck
PERSON;Parker
CITY;Prague
PERSON;Parker
CAUSE_OF_DEATH;Fire
PERSON;his
PERSON;his
PERSON;Beck
CAUSE_OF_DEATH;Fire
PERSON;Parker
PERSON;Hill
PERSON;Parker
PERSON;Beck
CITY;Berlin
PERSON;Parker
PERSON;Beck
PERSON;him
PERSON;Beck
TITLE;specialist
ORGANIZATION;Stark Industries
PERSON;his
DATE;now
MISC;ex-Stark
MISC;Elemental
CAUSE_OF_DEATH;attacks
ORGANIZATION;E.D.I.T.H.
ORGANIZATION;MJ
PERSON;Parker
PERSON;He
NUMBER;two
PERSON;Beck
CRIMINAL_CHARGE;fraud
PERSON;she
PERSON;Parker
CITY;Berlin
NUMBER;one
PERSON;Beck
PERSON;Beck
PERSON;his
PERSON;Parker
CRIMINAL_CHARGE;train
COUNTRY;Netherlands
PERSON;Parker
PERSON;Hogan
CITY;London
DATE;now
PERSON;his
CITY;London
PERSON;Beck
ORGANIZATION;E.D.I.T.H.
NUMBER;four
PERSON;Parker
PERSON;his
PERSON;Parker
PERSON;Beck
PERSON;him
PERSON;Parker
PERSON;Beck
CAUSE_OF_DEATH;attacks
PERSON;Beck
TITLE;assistant
PERSON;Beck
CITY;New York City Parker
PERSON;J. Jonah Jameson
URL;TheDailyBugle.net
CITY;London
PERSON;Beck
MISC;Spider Man
CAUSE_OF_DEATH;attack
PERSON;Parker
PERSON;his
PERSON;his
PERSON;Hill
ORGANIZATION;Skrulls Talos
PERSON;Soren
