0;1;2
Fury;investigate;storm
Maria Hill;investigate;storm
Fury;investigate;unnatural storm
Maria Hill;investigate;unnatural storm
Quentin Beck;fight;creature
Midtown School;completes;its academic year
School;completes;year
school;organizes;trip
Peter;confess;his feelings
Happy Hogan;informs;Parker
Fury;contact;him
Parker;travel to;Venice Italy
Parker;travel;Venice
his classmates;travel to;Venice Italy
Parker;helps;classmates
Parker;protect;his classmates
Fury;meets with;Parker
Fury;gives;Stark 's glasses
Stark;has;glasses
glasses;are equipped with;artificial intelligence E.D.I.T.H.
access;commands;large orbital weapons supply
Beck;hail from;alternate reality within Multiverse
Beck;claims;hail from alternate reality within Multiverse
Elementals;killed;his family
Fire Elemental;appear in;Prague
Parker;declines;invitation
Fury;has;invitation join against Elementals
school trip;has;itinerary
Beck;destroy;Fire Elemental
Beck;destroy;Fire
Beck;destroy Fire with;Parker 's help
Fury;invite Parker to;Berlin
Hill;invite Beck to;Berlin
Hill;invite Parker to;Berlin
Fury;invite Beck to;Berlin
Parker;travels;Berlin
Parker;bequeaths;him E.D.I.T.H. glasses
Beck;is;former holographic illusions specialist at Stark Industries
Beck;is;secretly former illusions specialist at Stark Industries
He;leads;team of disgruntled ex-Stark employees
their plan;gain access to;E.D.I.T.H.
Elemental attacks;masquerade as;hero
orbital weapons system;has;drones increase
Parker;is hit by;train
Parker;is;Spider Man
They;discover;simulation
Beck;is;fraud
Parker;meet with;Fury
Parker;hit;illusion
Parker;carried away to;Netherlands
his classmates;are on;their way home
Beck;uses;E.D.I.T.H.
E.D.I.T.H.;orchestrate;his biggest illusion
Parker;has;friends
Parker;disrupt;illusion
drones;attack;him
Beck;dies;wounds
Beck;dies from;wounds
assistant;escapes with;data from drones
Parker;begins;relationship
J. Jonah Jameson;doctored;footage of London incident
